2023-03-28 09:13:30.094 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:13:30.097 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:13:30.952 [main] INFO  org.reflections.Reflections - Reflections took 21 ms to scan 1 urls, producing 3 keys and 6 values 
2023-03-28 09:13:30.967 [main] INFO  org.reflections.Reflections - Reflections took 7 ms to scan 1 urls, producing 4 keys and 9 values 
2023-03-28 09:13:30.975 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 3 keys and 10 values 
2023-03-28 09:13:30.983 [main] INFO  org.reflections.Reflections - Reflections took 5 ms to scan 1 urls, producing 1 keys and 5 values 
2023-03-28 09:13:30.990 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2023-03-28 09:13:30.997 [main] INFO  org.reflections.Reflections - Reflections took 5 ms to scan 1 urls, producing 2 keys and 8 values 
2023-03-28 09:13:31.816 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8007"]
2023-03-28 09:13:31.823 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8007 (http) with context path ''
